"B cells naive"	"B cells memory"	"Plasma cells"	"T cells CD8"	"T cells CD4 naive"	"T cells CD4 memory resting"	"T cells CD4 memory activated"	"T cells follicular helper"	"T cells regulatory (Tregs)"	"T cells gamma delta"	"NK cells resting"	"NK cells activated"	"Monocytes"	"Macrophages M0"	"Macrophages M1"	"Macrophages M2"	"Dendritic cells resting"	"Dendritic cells activated"	"Mast cells resting"	"Mast cells activated"	"Eosinophils"	"Neutrophils"	"P-value"	"Correlation"	"RMSE"
"SUB142610_3.0"	0.0386538093179419	0	0	0.0331657407629805	0.139380856008526	0.0282417400942749	0.0901253155688176	0	0	0.252385374420886	0.14815880764732	0	0.217442436528997	0.00215974730209911	0	0	0	0.00273373102834994	0.0208910215523901	0	0.0215985462120942	0.00506287355532387	0	0.67883259960407	0.743249081585593
"SUB142610_7.0"	0.0693458098002162	0	0	0.00814339540420604	0.180887638884012	0.0145283454154268	0.0865063649990495	0.0228825327630651	0	0.256266707528432	0.108360765486984	0	0.12293994597453	0.0159705539497205	0.00499711570192346	0	0.0147294393955302	0.00363458185625101	0	0	0.0512754544083176	0.0395313484323356	0	0.612157528469723	0.79418914991557
"SUB142610_14.0"	0.0507628437266466	0	0	0.034960396413582	0.133456359670364	0.0182136625362855	0.106570611839729	0	0	0.286836463923549	0.186967715714847	0	0.128869321268633	0.000981899558260558	0	0	0	0.00100485548118086	0.0236687716217978	0	0.0137294162863782	0.0139776819587472	0	0.716609440236925	0.706565927638763
"SUB142603_0.0"	0.0936546953542435	0	0	0	0.205587333607309	0.0142025652611803	0.0833420951903732	0.00475813070995951	0	0.136621419211681	0.132840367981399	0	0.150601163885565	0.0197917563344482	0.00539518685249949	0	0.0130900498567302	0	0.0196523908047616	0	0.0395356716872929	0.0809271732625576	0	0.518367237297399	0.854875988927
"SUB142603_1.0"	0.0868973001273523	0	0	0	0.245648803574146	0	0.0722593894741324	0.0195232219927087	0	0.167345767320145	0.108370165089831	0	0.16141133627588	0.019329065792804	0.00466030092187768	0	0.0164104905007063	0.000559776060661095	0.016431646417647	0	0.0328455644063637	0.0483071720457448	0	0.490012206359077	0.870799040845362
"SUB142603_3.0"	0.0716926208215712	0	0	0	0.19363688762619	0.00711480273343281	0.0966676403926828	0.013276183861542	0	0.228197017220087	0.131462043919566	0	0.0903592266696729	0.00576826692853466	0.00694045006365602	0	0.0195636019892203	0	0.00263970156747786	0	0.0468530188222793	0.085828537384086	0	0.514656628672942	0.856649579355979
"SUB142603_7.0"	0.0800793002872464	0	0	0	0.229754034040273	0.0416152477693284	0.0697414931066755	0.0110143651240697	0	0.197311686159138	0.118670308063411	0	0.129073252011541	0.00675450071660413	0.00480856034285958	0	0.0152422823362936	0	0.0042471323541197	0	0.0300908616358661	0.0615969760525744	0	0.514189673646348	0.856807248177418
"SUB142603_14.0"	0.0897554530493188	0	0	0	0.18946128485566	0.0174707189644845	0.0800733519537653	0.00984298957322828	0	0.210357936841322	0.091979982761644	0	0.137621761264823	0.0076380445867663	0.00464805592915292	0	0.0174303946655107	0.00377723580392098	0.0200030423418357	0	0.0562362508955395	0.0637034965130273	0	0.491168925282212	0.870137492043614
"SUB142659_0.0"	0.0403348201909675	0	0	0.0556346650950066	0.06896187416734	0.0660022488865411	0.0451443862442853	0.000115070711611092	0	0.328367017627794	0.0208741236735559	0	0.160867812603119	0.0127232849561928	0.00486032737460339	0	0.0131834304188826	0.0013431640485915	0.026047076837297	0	0.0655473116795288	0.0899933854846829	0	0.613858201648501	0.792198871100681
"SUB142659_1.0"	0.0255160714238455	0	0	0.112234996260531	0.0209585705235975	0	0.0526884188342686	0	0	0.282190936261721	0.0925654996728806	0	0.178506931119845	0.0194435443617005	0.00582680313634781	0	0.0115705087045752	0.00688787787332743	0.0415932172696091	0	0.0599109737312113	0.0901056508265395	0	0.685443611895997	0.740223724217075
"SUB142659_3.0"	0.0338119213612077	0	0	0.101068687667228	0.0743971885562419	0.00690786579165797	0.0417978137013555	0.0290947186006849	0	0.319797392547055	0.0264771109651052	0	0.212889727856023	0.0258789924139049	0.00458865155502758	0	0.00934230752301089	0.00404322489454138	0.0273185436144769	0	0.0556426854178326	0.026943167534647	0	0.728932656877457	0.709587653030464
"SUB142659_7.0"	0.0337386260302075	0	0	0.0826715687380139	0.090498394095133	0	0.0558894544090939	0.0283817862679321	0	0.330282578688609	0.0472482493543496	0	0.17985364946177	0.0180957902029679	0.00232883711940978	0	0.0169383091164974	0.00714070850630071	0.0135531598250257	0	0.0554492963078546	0.0379295918768344	0	0.64516151783958	0.769305334952121
"SUB142659_14.0"	0.0509150575699316	0	0	0.0957275594441533	0.0584396872462782	0	0.0468881589825566	0	0	0.236892656914429	0.0411930854241095	0	0.357323776748946	0.00690546886273881	0	0	0	0.00647118214332591	0.0309777140169551	0	0.0566627076357548	0.0116029450108207	0	0.632825679640084	0.780523950738075
"SUB142661_0.0"	0.0518481413750373	0	0	0	0.142769824668056	0	0.102573881008736	0	0	0.260320489871272	0.127236234457805	0	0.183170710930772	0.0146568311003555	0.00438991733596383	0	0.017963114301501	0	0.024692747468804	0	0.0308779786479847	0.0395001288337129	0	0.595225552784548	0.805759342967222
"SUB142661_1.0"	0.0131027583528138	0.023386899642295	0	0	0.154222037590603	0	0.0661670097300165	0	0	0.18187803562631	0.0901957472429562	0	0.305463977081711	0.0335309108418675	0.00715280215974068	0	0.0089281545272173	0.00770277585781719	0.0133229806701473	0	0.0741714775095259	0.0207744331669794	0	0.489670867584744	0.871033629373051
"SUB142661_3.0"	0.0654083223459848	0	0	0	0.202258211403124	0	0.0738872376202078	0	0	0.283105088083989	0.111933608510205	0	0.144512553526321	0	0.0037941989397809	0.0196200002815643	0.0144969831607022	0	0.0153908321392162	0	0.0340933480838034	0.0314996159051007	0	0.567293845616315	0.8232198130834
